期货名称,合约编码,uk编码
伦敦铝期货,LRA2501,410a25dd00000001
伦敦锌期货,LRZ2501,410a25dd00000002
伦敦铜期货,LRC2501,410a25dd00000003
伦敦镍期货,LRN2501,410a25dd00000004
伦敦锡期货,LRS2501,410a25dd00000005
伦敦铅期货,LRP2501,410a25dd00000006
伦敦铝期货,LRA2502,410a25de00000001
伦敦锌期货,LRZ2502,410a25de00000002
伦敦铜期货,LRC2502,410a25de00000003
伦敦镍期货,LRN2502,410a25de00000004
伦敦锡期货,LRS2502,410a25de00000005
伦敦铅期货,LRP2502,410a25de00000006
伦敦铝期货,LRA2503,410a25df00000001
伦敦锌期货,LRZ2503,410a25df00000002
伦敦铜期货,LRC2503,410a25df00000003
伦敦镍期货,LRN2503,410a25df00000004
伦敦锡期货,LRS2503,410a25df00000005
伦敦铅期货,LRP2503,410a25df00000006
伦敦铝期货,LRA2504,410a25e000000001
伦敦锌期货,LRZ2504,410a25e000000002
伦敦铜期货,LRC2504,410a25e000000003
伦敦镍期货,LRN2504,410a25e000000004
伦敦锡期货,LRS2504,410a25e000000005
伦敦铅期货,LRP2504,410a25e000000006
伦敦铝期货,LRA2505,410a25e100000001
伦敦锌期货,LRZ2505,410a25e100000002
伦敦铜期货,LRC2505,410a25e100000003
伦敦镍期货,LRN2505,410a25e100000004
伦敦锡期货,LRS2505,410a25e100000005
伦敦铅期货,LRP2505,410a25e100000006
伦敦铝期货,LRA2506,410a25e200000001
伦敦锌期货,LRZ2506,410a25e200000002
伦敦铜期货,LRC2506,410a25e200000003
伦敦镍期货,LRN2506,410a25e200000004
伦敦锡期货,LRS2506,410a25e200000005
伦敦铅期货,LRP2506,410a25e200000006
伦敦铝期货,LRA2507,410a25e300000001
伦敦锌期货,LRZ2507,410a25e300000002
伦敦铜期货,LRC2507,410a25e300000003
伦敦镍期货,LRN2507,410a25e300000004
伦敦锡期货,LRS2507,410a25e300000005
伦敦铅期货,LRP2507,410a25e300000006
伦敦铝期货,LRA2508,410a25e400000001
伦敦锌期货,LRZ2508,410a25e400000002
伦敦铜期货,LRC2508,410a25e400000003
伦敦镍期货,LRN2508,410a25e400000004
伦敦锡期货,LRS2508,410a25e400000005
伦敦铅期货,LRP2508,410a25e400000006
伦敦铝期货,LRA2509,410a25e500000001
伦敦锌期货,LRZ2509,410a25e500000002
伦敦铜期货,LRC2509,410a25e500000003
伦敦镍期货,LRN2509,410a25e500000004
伦敦锡期货,LRS2509,410a25e500000005
伦敦铅期货,LRP2509,410a25e500000006
伦敦铝期货,LRA2510,410a25e600000001
伦敦锌期货,LRZ2510,410a25e600000002
伦敦铜期货,LRC2510,410a25e600000003
伦敦镍期货,LRN2510,410a25e600000004
伦敦锡期货,LRS2510,410a25e600000005
伦敦铅期货,LRP2510,410a25e600000006
伦敦铝期货,LRA2511,410a25e700000001
伦敦锌期货,LRZ2511,410a25e700000002
伦敦铜期货,LRC2511,410a25e700000003
伦敦镍期货,LRN2511,410a25e700000004
伦敦锡期货,LRS2511,410a25e700000005
伦敦铅期货,LRP2511,410a25e700000006
伦敦铝期货,LRA2512,410a25e800000001
伦敦锌期货,LRZ2512,410a25e800000002
伦敦铜期货,LRC2512,410a25e800000003
伦敦镍期货,LRN2512,410a25e800000004
伦敦锡期货,LRS2512,410a25e800000005
伦敦铅期货,LRP2512,410a25e800000006
伦敦铝期货,LRA2601,410a25e900000001
伦敦锌期货,LRZ2601,410a25e900000002
伦敦铜期货,LRC2601,410a25e900000003
伦敦镍期货,LRN2601,410a25e900000004
伦敦锡期货,LRS2601,410a25e900000005
伦敦铅期货,LRP2601,410a25e900000006
伦敦铝期货,LRA2602,410a25e100000001
伦敦锌期货,LRZ2602,410a25e100000002
伦敦铜期货,LRC2602,410a25e100000003
伦敦镍期货,LRN2602,410a25e100000004
伦敦锡期货,LRS2602,410a25e100000005
伦敦铅期货,LRP2602,410a25e100000006
伦敦铝期货,LRA2603,410a25eb00000001
伦敦锌期货,LRZ2603,410a25eb00000002
伦敦铜期货,LRC2603,410a25eb00000003
伦敦镍期货,LRN2603,410a25eb00000004
伦敦锡期货,LRS2603,410a25eb00000005
伦敦铅期货,LRP2603,410a25eb00000006
伦敦铝期货,LRA2604,410a25ec00000001
伦敦锌期货,LRZ2604,410a25ec00000002
伦敦铜期货,LRC2604,410a25ec00000003
伦敦镍期货,LRN2604,410a25ec00000004
伦敦锡期货,LRS2604,410a25ec00000005
伦敦铅期货,LRP2604,410a25ec00000006
伦敦铝期货,LRA2605,410a25ed00000001
伦敦锌期货,LRZ2605,410a25ed00000002
伦敦铜期货,LRC2605,410a25ed00000003
伦敦镍期货,LRN2605,410a25ed00000004
伦敦锡期货,LRS2605,410a25ed00000005
伦敦铅期货,LRP2605,410a25ed00000006
伦敦铝期货,LRA2606,410a25ee00000001
伦敦锌期货,LRZ2606,410a25ee00000002
伦敦铜期货,LRC2606,410a25ee00000003
伦敦镍期货,LRN2606,410a25ee00000004
伦敦锡期货,LRS2606,410a25ee00000005
伦敦铅期货,LRP2606,410a25ee00000006
伦敦铝期货,LRA2607,410a25ef00000001
伦敦锌期货,LRZ2607,410a25ef00000002
伦敦铜期货,LRC2607,410a25ef00000003
伦敦镍期货,LRN2607,410a25ef00000004
伦敦锡期货,LRS2607,410a25ef00000005
伦敦铅期货,LRP2607,410a25ef00000006
